SID,NUMBER,ISO_TIME,NATURE,LAT,LON
1861011S17411,2,1861-01-11 06:00:00,Not reported,-17.2,51.1
1861021S13086,3,1861-01-21 06:00:00,Not reported,-13.1,86.1
1861021S13446,4,1861-01-21 06:00:00,Not reported,-13.2,85.8
1861039S10077,5,1861-02-07 18:00:00,Not reported,-9.9,76.9
1861042S10077,6,1861-02-11 06:00:00,Not reported,-9.7,77.1
1861042S16062,7,1861-02-11 06:00:00,Not reported,-15.8,62.1
1861046S16062,8,1861-02-14 18:00:00,Not reported,-16,62
1861052S08069,9,1861-02-21 06:00:00,Not reported,-8.3,69
1861070S11100,10,1861-03-11 06:00:00,Not reported,-11.3,100.1
1861091S07085,11,1861-03-31 18:00:00,Not reported,-7,84.7
1861101S09083,12,1861-04-10 18:00:00,Not reported,-9.3,83.1
1861101S09084,13,1861-04-11 06:00:00,Not reported,-9.2,83.5
1861185N15303,14,1861-07-04 00:00:00,Tropical,14.5,-56.8
1861202N37285,15,1861-07-20 12:00:00,Extratropical,36.5,-75
1861210N15276,16,1861-07-28 12:00:00,Tropical,15.2,-84
1861221N13316,17,1861-08-09 06:00:00,Tropical,12.5,-44
1861226N21290,18,1861-08-13 12:00:00,Tropical,20.5,-70
1861237N35296,19,1861-08-24 12:00:00,Tropical,34.5,-64
1861254N19314,20,1861-09-11 00:00:00,Tropical,19,-46.3
1861255N13337,21,1861-09-11 12:00:00,Tropical,13.5,-23.4
1861261N29310,22,1861-09-17 12:00:00,Tropical,28.5,-50
1861266N20269,23,1861-09-22 12:00:00,Tropical,20,-91.5
1861270N29283,24,1861-09-27 06:00:00,Tropical,28.5,-77.5
1861275N19299,25,1861-10-01 12:00:00,Tropical,18.7,-61
1861277N15320,26,1861-10-03 12:00:00,Tropical,15,-40
1861279N20314,27,1861-10-06 00:00:00,Tropical,20,-46
1861281N35285,28,1861-10-07 12:00:00,Tropical,35.3,-75.3
1861290N25292,29,1861-10-16 12:00:00,Tropical,25,-68.5
1861304N25267,30,1861-10-31 00:00:00,Tropical,24.5,-93.5
1861305N26278,31,1861-11-01 06:00:00,Tropical,25.5,-82.1
1861305S10085,32,1861-10-31 18:00:00,Not reported,-9.7,85.2
1861315S10085,33,1861-11-11 06:00:00,Not reported,-9.7,85
1861355S05087,34,1861-12-21 06:00:00,Not reported,-5.4,86.8
1861355S06087,35,1861-12-20 18:00:00,Not reported,-5.5,86.7
